@relation housing_train_cleaned-weka.filters.unsupervised.attribute.Remove-R3-13-weka.filters.unsupervised.attribute.Remove-V-R1-3

@attribute rent numeric
@attribute type {apartment,house,manufactured,townhouse,condo,duplex,flat,cottage/cabin,in-law,loft,land}
@attribute demand {yes,no,unknown}

@data
1195,apartment,yes
1120,apartment,yes
825,apartment,yes
800,apartment,yes
785,apartment,yes
900,apartment,yes
925,apartment,yes
1085,house,yes
1269,apartment,yes
799,apartment,yes
890,apartment,yes
1355,apartment,yes
685,house,yes
1060,apartment,yes
1236,apartment,yes
1100,apartment,yes
870,apartment,yes
815,apartment,yes
1132,apartment,yes
700,apartment,yes
1105,apartment,yes
820,apartment,yes
890,apartment,yes
975,apartment,yes
1010,apartment,yes
1086,apartment,yes
1299,apartment,yes
835,apartment,yes
825,apartment,yes
990,apartment,yes
990,apartment,yes
1499,apartment,yes
1245,apartment,yes
1050,apartment,yes
679,apartment,yes
659,apartment,yes
904,apartment,yes
800,house,yes
1250,apartment,yes
879,apartment,yes
1222,apartment,yes
840,apartment,yes
715,apartment,yes
1100,apartment,yes
960,apartment,yes
1260,apartment,yes
850,house,yes
1050,house,no
814,apartment,yes
874,apartment,yes
625,manufactured,yes
1004,apartment,yes
820,townhouse,yes
950,apartment,yes
775,house,yes
950,apartment,yes
750,house,yes
925,house,no
880,house,yes
765,apartment,yes
1080,apartment,yes
839,apartment,yes
874,apartment,yes
840,townhouse,yes
965,apartment,yes
930,townhouse,yes
810,apartment,yes
835,house,yes
875,house,yes
930,apartment,yes
715,house,yes
1145,apartment,yes
825,house,yes
935,house,yes
835,house,yes
895,house,yes
765,apartment,yes
1165,apartment,yes
925,apartment,yes
879,apartment,yes
805,apartment,yes
1046,apartment,yes
1134,apartment,yes
1055,apartment,yes
1000,house,yes
1122,apartment,yes
1300,condo,yes
1070,apartment,yes
790,apartment,yes
840,apartment,yes
940,apartment,yes
1040,apartment,yes
855,apartment,yes
1030,apartment,yes
1335,townhouse,yes
785,apartment,yes
876,apartment,yes
899,apartment,yes
1375,townhouse,yes
899,apartment,yes
1194,apartment,yes
1000,apartment,yes
1230,apartment,yes
1145,apartment,yes
915,apartment,yes
999,house,no
1244,apartment,yes
1040,apartment,yes
879,apartment,yes
1400,house,yes
1227,apartment,yes
1134,apartment,yes
995,apartment,yes
1215,apartment,yes
930,apartment,yes
865,apartment,yes
905,apartment,yes
1005,apartment,yes
960,apartment,yes
800,apartment,yes
940,apartment,yes
1015,apartment,yes
925,house,yes
820,house,yes
1269,apartment,yes
799,apartment,yes
1050,house,yes
695,apartment,yes
899,apartment,yes
799,apartment,yes
1144,apartment,yes
1085,apartment,yes
1100,apartment,yes
790,apartment,yes
800,apartment,yes
865,apartment,yes
772,apartment,yes
870,apartment,yes
850,apartment,yes
800,apartment,yes
1200,apartment,yes
1025,apartment,yes
975,house,yes
1115,apartment,yes
