@relation housing_train_cleaned

@attribute rent numeric
@attribute type {apartment,house,manufactured,townhouse,condo,duplex,flat,cottage/cabin,in-law,loft,land}
@attribute sqfeet numeric
@attribute bedrooms numeric
@attribute bathrooms numeric
@attribute cats_allowed numeric
@attribute dogs_allowed numeric
@attribute smoking_allowed numeric
@attribute wheelchair_access numeric
@attribute electric_vehicle_charge numeric
@attribute comes_furnished numeric
@attribute laundry_options {'laundry on site','w/d hookups','w/d in unit',unknown,'laundry in bldg','no laundry on site'}
@attribute parking_options {'street parking','off-street parking',unknown,carport,'attached garage','detached garage','no parking','valet parking'}
@attribute demand {yes,no,unknown}

@data
1195,apartment,1908,3,2,1,1,1,0,0,0,'laundry on site','street parking',yes
1120,apartment,1319,3,2,1,1,1,0,0,0,'laundry on site','off-street parking',yes
825,apartment,1133,1,1.5,1,1,1,0,0,0,'laundry on site','street parking',yes
800,apartment,927,1,1,1,1,1,0,0,0,'laundry on site','street parking',yes
785,apartment,1047,2,1,1,1,1,0,0,0,'laundry on site','street parking',yes
900,apartment,1298,2,2,1,1,1,0,0,0,'laundry on site','street parking',yes
925,apartment,1350,2,2,1,1,1,0,0,0,'laundry on site','street parking',yes
1085,house,2308,3,2,1,1,0,0,0,0,'w/d hookups',unknown,yes
1269,apartment,1156,3,2,1,1,1,0,0,0,'w/d in unit',unknown,yes
799,apartment,703,1,1,1,1,1,0,0,0,'w/d in unit',unknown,yes
890,apartment,1050,2,2,0,0,1,0,0,0,unknown,unknown,yes
1355,apartment,1375,3,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
685,house,672,2,1,1,1,0,0,0,0,'w/d hookups',carport,yes
1060,apartment,1100,2,2,1,1,1,0,0,0,'laundry on site','off-street parking',yes
1236,apartment,1285,2,2,1,1,1,1,0,0,'w/d hookups',unknown,yes
1100,apartment,1100,2,2,1,1,1,0,0,0,'laundry on site','off-street parking',yes
870,apartment,851,1,1,1,1,1,0,0,0,'laundry on site','off-street parking',yes
815,apartment,851,1,1,1,1,1,0,0,0,'laundry on site','off-street parking',yes
1132,apartment,1107,2,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
700,apartment,906,1,1,1,1,1,0,0,0,'laundry on site',unknown,yes
1105,apartment,1908,3,2,1,1,1,0,0,0,'laundry on site','street parking',yes
820,apartment,851,1,1,1,1,1,0,0,0,'laundry on site','off-street parking',yes
890,apartment,1100,2,2,1,1,1,0,0,0,'laundry on site','off-street parking',yes
975,apartment,1009,2,1,1,1,1,0,0,0,'laundry on site','off-street parking',yes
1010,apartment,1100,2,2,1,1,1,0,0,0,'laundry on site','off-street parking',yes
1086,apartment,1285,2,2,1,1,1,1,0,0,'w/d hookups',unknown,yes
1299,apartment,1700,3,2,1,1,1,0,0,0,'w/d hookups',unknown,yes
835,apartment,560,1,1,1,1,1,0,0,0,'laundry on site','off-street parking',yes
825,apartment,851,1,1,1,1,1,0,0,0,'laundry on site','off-street parking',yes
990,apartment,996,2,1,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
990,apartment,1100,2,2,1,1,1,0,0,0,'laundry on site','off-street parking',yes
1499,apartment,1491,3,2,1,1,1,0,0,0,'w/d hookups',unknown,yes
1245,apartment,1189,2,2,1,1,1,0,0,0,'w/d hookups',unknown,yes
1050,apartment,890,1,1,1,1,1,0,0,0,'w/d hookups',unknown,yes
679,apartment,915,2,1.5,1,1,1,0,0,0,'laundry on site',unknown,yes
659,apartment,890,2,1,1,1,1,0,0,0,'laundry on site',unknown,yes
904,apartment,1065,2,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
800,house,1300,3,1,1,1,1,0,0,0,'w/d hookups',unknown,yes
1250,apartment,1338,3,2,0,0,1,0,0,0,unknown,unknown,yes
879,apartment,984,2,2,1,1,1,0,0,0,'w/d hookups',unknown,yes
