@relation 'housing_train_cleaned-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R1-12,14-35,37-38'

@attribute sqfeet numeric
@attribute demand=yes numeric

@data
1908,1
1319,1
1133,1
927,1
1047,1
1298,1
1350,1
2308,1
1156,1
703,1
1050,1
1375,1
672,1
1100,1
1285,1
1100,1
851,1
851,1
1107,1
906,1
1908,1
851,1
1100,1
1009,1
1100,1
1285,1
1700,1
560,1
851,1
996,1
1100,1
1491,1
1189,1
890,1
915,1
890,1
1065,1
1300,1
1338,1
984,1
1908,1
851,1
906,1
1300,1
1150,1
5201,1
1144,1
1324,0
600,1
700,1
1080,1
880,1
960,1
770,1
1216,1
850,1
1332,1
1346,0
1095,1
802,1
1100,1
700,1
700,1
960,1
1100,1
1080,1
600,1
1228,1
1050,1
1080,1
1088,1
1572,1
1339,1
1346,1
1056,1
1161,1
803,1
1572,1
1418,1
984,1
1056,1
1285,1
1360,1
1100,1
1345,1
1107,1
950,1
1100,1
927,1
1133,1
1298,1
1100,1
1073,1
1100,1
1400,1
851,1
855,1
750,1
1400,1
750,1
1416,1
1156,1
1200,1
1060,1
1133,1
1829,0
1226,1
830,1
984,1
1397,1
1177,1
1440,1
1100,1
1572,1
1000,1
851,1
1000,1
1000,1
1298,1
1056,1
1000,1
1100,1
1346,1
992,1
1156,1
703,1
1512,1
906,1
933,1
703,1
1416,1
1100,1
1306,1
583,1
1029,1
1222,1
871,1
1047,1
1000,1
1029,1
1862,1
1548,1
1575,1
1100,1
1347,1
591,1
851,1
802,1
1047,1
1416,1
975,1
975,1
975,1
583,1
870,1
1360,1
695,1
1069,1
1100,1
806,1
677,1
1908,1
1456,1
1862,1
1548,1
1202,1
230,1
851,1
230,1
1094,1
802,1
1350,1
1700,1
1700,1
677,1
1700,1
825,1
716,1
1372,1
765,1
1103,1
894,1
1179,1
1372,1
1179,1
1565,1
1133,1
1520,1
826,1
906,1
820,1
1268,1
713,1
906,1
835,1
2413,0
1177,1
594,1
673,1
1750,1
1740,1
996,1
820,1
1095,1
600,1
856,1
1088,1
1500,1
765,1
960,1
2096,0
750,1
950,1
970,1
1910,1
813,1
641,1
1100,1
721,1
960,1
960,1
2600,1
830,1
955,1
1676,1
1229,1
1220,0
744,1
1782,0
2088,1
2100,1
977,1
1088,1
1000,1
724,1
800,0
724,1
1900,1
685,1
1360,1
1050,1
1747,0
956,1
740,1
1300,1
2134,1
1159,1
2186,1
1727,1
960,1
867,1
695,1
1367,1
540,1
977,1
930,1
1326,1
923,1
724,1
649,1
1300,1
1375,1
944,1
944,1
876,1
1063,1
900,1
1200,1
1440,1
824,1
630,1
730,1
605,1
948,1
750,1
900,1
1280,1
1,0
1386,1
1074,1
1000,1
500,1
650,1
1700,1
1500,1
2500,0
1000,1
1500,1
1100,1
775,1
880,1
2416,0
1054,1
700,1
550,1
800,1
1154,1
1750,1
2500,0
1176,1
1000,1
1000,1
600,1
1000,1
1100,1
980,1
750,1
1100,1
530,1
1564,1
1500,1
1500,1
1396,1
1400,0
850,1
1316,1
970,1
720,1
1046,1
768,1
1248,1
1400,1
1150,1
1100,1
960,1
970,1
1492,1
1054,1
1350,1
850,1
996,1
658,1
658,1
1450,1
975,1
815,1
1800,1
1595,1
710,1
300,1
1100,1
600,1
2400,1
1340,1
980,1
1450,1
950,1
1121,1
900,1
3000,0
1400,1
1900,1
980,1
1000,1
400,1
800,1
1000,1
960,1
1200,1
1200,1
1191,1
1200,1
1326,1
1326,1
1470,1
1560,1
900,1
1000,1
896,1
778,1
1152,1
767,1
785,1
700,1
1145,1
908,1
1256,1
1232,1
1139,1
1326,1
1201,1
1205,1
800,1
960,1
1250,1
1523,1
1552,1
1022,1
880,1
1200,1
1952,1
1198,1
843,1
810,1
550,1
866,1
920,1
888,1
1470,1
1340,1
705,1
1334,1
1786,0
1000,1
1000,1
1470,1
1095,1
1117,1
1100,1
940,1
1050,1
1117,1
795,1
1033,1
1560,1
705,1
640,1
1225,1
1390,1
660,1
1287,1
800,1
1380,1
600,1
1086,1
957,1
1421,1
558,1
807,1
880,1
1095,1
1128,1
830,1
622,1
920,1
550,1
1326,1
1095,1
1450,1
1380,1
610,1
1035,1
1390,1
1470,1
1326,1
1390,1
1216,1
1033,1
1402,1
1100,1
1095,1
622,1
1095,1
1100,1
869,1
497,1
1638,1
1000,1
803,1
1331,1
2450,0
1870,1
1200,1
640,1
935,1
1095,1
1287,1
1100,1
792,1
1004,1
915,1
792,1
1117,1
1040,1
751,1
768,1
1287,1
870,1
1100,1
550,1
800,1
550,1
900,1
558,1
552,1
900,1
1380,1
738,1
630,1
935,1
1150,1
750,1
1005,1
1045,1
1470,1
1326,1
900,1
1340,1
1408,1
1326,1
866,1
1095,1
858,1
705,1
1600,1
2100,1
1200,1
1192,1
798,1
1256,1
792,1
1000,1
1287,1
1095,1
1115,1
600,1
800,1
1100,1
1033,1
1100,1
600,1
900,1
495,1
1100,1
790,1
1326,1
780,1
1248,1
750,1
730,1
1100,1
558,1
845,1
600,1
900,1
700,1
500,1
856,1
840,1
800,1
1117,1
792,1
500,1
1390,1
2850,0
750,1
1300,1
1000,1
2160,0
840,1
1050,1
768,1
969,1
856,1
800,1
768,1
980,1
969,1
785,1
969,1
1150,1
1642,1
665,1
783,1
450,1
1321,1
1327,1
540,1
864,1
1638,1
600,1
900,1
640,1
900,1
969,1
920,1
969,1
990,1
1095,1
750,1
1000,1
1043,1
1700,1
1642,1
990,1
900,1
1050,1
550,1
900,1
4980,1
585,1
600,1
1050,1
900,1
1375,1
830,1
830,1
1480,0
1050,1
795,1
1190,1
1074,1
1380,1
1104,1
1560,1
1050,1
830,1
1256,1
1296,1
869,1
1100,1
1256,1
1326,1
840,1
1029,1
1000,1
1000,1
969,1
849,1
1033,1
1326,1
721,1
1005,1
558,1
990,1
915,1
800,1
1035,1
1080,1
1033,1
1150,1
980,1
969,1
728,1
1269,1
770,1
1280,1
1273,1
1273,1
1086,1
1207,1
1139,1
1340,1
1075,1
758,1
1000,1
750,1
1260,1
685,1
620,1
1000,1
1340,1
705,1
1287,1
1117,1
800,1
670,1
1256,1
950,1
1015,1
1095,1
850,1
600,1
550,1
631,1
631,1
631,1
775,1
631,1
600,1
986,1
721,1
830,1
1120,1
650,1
1225,1
765,1
705,1
2001,1
551,1
630,1
807,1
1030,1
1033,1
1360,1
750,1
480,1
1470,1
800,1
1072,1
700,1
750,1
1050,1
1296,1
812,1
835,1
620,1
675,1
1025,1
1340,1
1560,1
780,1
795,1
1208,1
949,1
565,1
1200,1
2000,1
711,1
744,1
900,1
1086,1
655,1
1326,1
1127,1
850,1
1000,1
800,1
1432,0
920,1
1390,1
1095,1
1200,1
803,1
1000,1
725,1
830,1
805,1
1200,1
768,1
1235,1
803,1
959,1
850,1
900,1
950,1
850,1
775,1
600,1
631,1
1050,1
775,1
631,1
1108,1
930,1
1095,1
1326,1
1095,1
1095,1
649,1
943,1
1020,1
1470,1
900,1
900,1
1326,1
1296,1
1440,1
1072,1
1150,1
858,1
670,1
622,1
1095,1
1086,1
1095,1
1273,1
900,1
1056,1
800,1
954,1
1150,1
1248,1
1327,1
1321,1
1377,1
1049,1
1100,1
790,1
1249,1
1049,1
920,1
1150,1
807,1
1273,1
900,1
1144,1
900,1
460,1
800,1
1287,1
1056,1
1100,1
1326,1
783,1
400,1
726,1
1380,1
645,1
990,1
915,1
825,1
1000,1
1550,0
1459,1
3077,0
908,1
702,1
1156,1
700,1
1100,1
1117,1
1117,1
1119,1
1250,1
1970,1
1119,1
700,1
1168,1
1119,1
675,1
1402,1
600,1
600,1
830,1
1095,1
960,1
1800,1
5550,0
1119,1
1326,1
1017,1
721,1
960,1
783,1
1280,1
5550,1
850,1
869,1
1192,1
1192,1
798,1
1056,1
1095,1
738,1
1117,1
1000,1
818,1
1250,1
943,1
750,1
1000,1
1296,1
800,1
1340,1
1287,1
1000,1
1059,1
500,1
1095,1
1128,1
600,1
1000,1
1326,1
915,1
1000,1
900,1
1100,1
1117,1
1168,1
1377,1
1049,1
720,1
1249,1
1049,1
990,1
1011,1
1033,1
610,1
803,1
1095,1
800,1
1190,1
1150,1
1190,1
1049,1
920,1
1290,1
845,1
783,1
1543,1
957,1
1180,1
1212,1
880,1
751,1
750,1
800,1
1000,1
721,1
1326,1
700,1
1000,1
740,1
900,1
550,1
907,1
864,1
1390,1
1326,1
667,1
550,1
900,1
970,1
600,1
1020,1
1000,1
